truthful ||| negative ||| I'm a frequent business traveler and often in Chicago on trips. At times, it's very difficult to even find a hotel in downtown Chicago, and this was one of those times. I recently had to pay almost $400 for one night at the Allegro. It was absolutely not worth it. The hotel was filled to capacity with conventioneers, so check-in and check-out were very slow. There were very few elevators, which were worked beyond capacity with all the guests. The morning I checked out, our elevator stopped at every single floor from the 16th floor down to the lobby, but the elevator was almost completely full when I got on at the 18th floor, so I can only imagine how long it must have taken other guests to get downstairs. The room was extremely small and cramped, even though it had obviously been renovated recently. The TV, bed, and decor were all new and were the high points of the hotel. Still, the rate was way overpriced for such a small room. The best thing about the Allegro was the room service, which was prompt. The food was good, and the prices were very reasonable for room service. From now on, if my regular hotels are booked, I'll just take a cab farther out from the city because it just isn't worth it.
truthful ||| negative ||| Will start by saying the employees were wonderful, especially in the restaurant / bar employees, could not have been nicer.....what appeared to be the hotel manager went above and beyond....Unfortunately, that's where it ends! The rooms, in my opinion, appeared different then pictures and were worn and ratty...you know, uninviting sofa and crappy coffee table and desk area... the first room I was given had bright construction lights shining in my room and men working on the next building that were looking directly into my window!!I kid you not; they seemed as if they were about 15-20 ft from my window!! And this was after I specifically had asked for a room that might have a decent view..I was then switched to a room that had virtually no light and was truly, again... just worn out!!!NOT a 4 star hotel, this seemed to be closer to a 2, perhaps being extremely kind 3 star...I travel on business so I know the difference...I merely touched the cabinet door on the bar unit and it literally fell off in my hand! I complained to a very nice woman from housekeeping and to her credit, she made sure the door was fixed ASAP. They gave me a bottle of wine to compensate..which I utilized to dull my senses as to my surroundings for the next 2 days....I wanted to give Omni a shot...big mistake... Unfortunately, brought a friend with me to show her how great Chicago was and I was soooo embarrassed, as I had chosen the hotel...She was extremely disappointed as well...should have gone with my first instinct which was the Conrad!! Lesson learned!
fake ||| positive ||| Hotel Monaco is a luxurious hotel situated in the heart of Chicago. It is blooming with historical elegance combined with modern day amenities. I had the pleasant experience of staying at this facility. Perfectly set up to handle any business traveler, sight seer, convention, wedding or shopper. They offer top notch service from reservations to wedding planning or even asking for a good local restaurant. I noticed that world travelers are welcome here with some of the employees ability to speak foreign languages. Guest rooms offer stylish charm and can relax even the unrelaxable. In room spa's and top notch room service is second to none. The South Water Kitchen is a true downtown Chicago restaurant offering mid-west American dishes and several signature cocktails. I know that anytime I visit Chicago, Hotel Monaco is my place to be.
truthful ||| positive ||| I just returned from a stay at this fabulous hotel - what a treat! The hotel website offers a great rate, and what I found was affordable luxury. I asked for a high floor & found myself with a fabulous view, in a room where there was an orchid spray in the bathroom, terrycloth robes and slippers, turndown service, Roger Gallet toiletries, a fluffy down conforter, and a wonderful pillowtop bed. The bathroom was so clean that it sparkled. The service was impeccable as well. Even my room service breakfast was way above average with an incredibly generous basket of excellent croissants, brioches, & pain au chocolat. The decor was unique & the location convenient. Check out the stunning flowers throughout the lobby. This is a topnotch hotel.
fake ||| negative ||| The Hilton family would be outraged after hearing about a recent stay (i.e. nightmare) at the Palmer House Hilton. I arrived 3 days before the National Restaurant Association tade show hoping to beat the crowds and settle in for a long week of trade show business. When I arrived I was greeted or really snarled at by the Clerk. This lady (if one can really call this beast that) was aggressive and rude from the get go. She made a snide comment on the number of bags I had and it was downhill from there. My guaranteed and confirmed reservation had been mysteriously cancelled and she indicated that I had been the one to contact their call center seeking a cancellation. I informed "Brenda" that I had never cancelled my reservation. We had originally booked 2 rooms (one for me and one for colleague) and my colleague changed their reservation to come in one day later. She huffed and puffed and finally said, oh okay, I read it wrong but we don't have a room for you. My room had been given away to someone else that had arrived earlier that day. As a Hilton Honors member and someone that drops lots of money on this chain, I was furious. She said that perhaps someone else had found me a room at another hotel and to wait while she checked. She left the front desk and was gone for almost 20 minutes, coming back with a smirk on her face. She informed me that I had to make a decision and that both would not be satisfactory 100%. The first option was to stay at a hotel outside of the Chicago downtown, closer to the airport or that I could go with another room they had, a smaller smoking one with the potential but promise of an upgrade in 3 or 4 days. I was outraged. No, I'm sorry and certainly the options were horrible. I ended up taking the smoking room where I barely spent any time in it due to the strong cigarette smells. Additionally, there was no upgrade at all during my stay there. I was not offered anything to make up for my troubles, their screw-up nor did the hotel manager bother to return my call. The net outcome: I will NEVER stay at this hotel again and I'm thinking of shredding my Hilton Honors card. Don't make the mistake of dealing with this property. You will be very, very sorry. Thanks for reading all this. Hopefully it will help someone out there before booking at this joke of a hotel.
truthful ||| positive ||| After some deliberation I booked the Sofitel Water Tower Place for a 3 night stop-over in June. This was my first visit to Chicago and it turned out that we had a really great time. We loved our rooms, which were just the basic type on the lower floors but they were very well appointed. The decor is modern and personally I liked it a lot. The rooms were pleasant and airy and the bed extremely comfortable. The hotel location is just perfect, close to the shops on Michagan Avenue, and the beach at Oak Street. Lovely restaurants close by and nightlife in Rush Street is just steps away. The area although bustling was peaceful and quiet. We could walk to most places and I would not hesitate to stay here again. The hotel staff very helpful, always smiling and ready to help; from the doormen to the helpful lady at Conceriage. I would not hesitate at all to stay at Sofitel Water Tower Place next time I'm in Chicago; in fact I look forward to my next visit.
truthful ||| positive ||| Room: I stayed in the 16thz floor. 2 double bed room. The room has a decent size. Equipment is state of the art. The Furniture are stylish. Room Size was very nice. I could have left my big suitcase opened throughout the stay (which rarely happens in most hotels ;)) 42" LCD Screen Complimentary WiFi in the room The bed and pillows are of extrodinary quality which provided an excellent deep sleep to me. Location Located quite central. Shopping streets are in reach of 5 minutes by feet. Midway Airport is in reach by cab within 30 minutes (~30 USD). Service - Spa and Fitness exists - though I did not use. - Restuarant (not used) - Business Center - Very friendly and helpful staff. (even printed our boarding passes at the reception) I do travel frquently, and do recommend this hotel for a business stay, as also for an overnight with friends going shopping, partying whatever in the city center of Chicago. Pricing was very moderate for teh standard being provided at a downtown hotel.
fake ||| positive ||| We had the pleasure of enjoying a stay at the Affinia Chicago Hotel. We found it conveniently located on E. Superior Street, near many local attractions. The rooms were modern chic with a very urban feel. The pillow menu was awesome, my partner and I have such different preferences, the choices made it easier to sleep like we were at home. The hotel room layout was comfortable and spacious with all the right touches to make our stay perfect! I couldn't believe the amenities available to guests. My Beagle, Betsy enjoyed her stay at the "Jet Set Pet" care center. She was pampered as much as I was. It was such a comfort knowing we could bring her along and that we could enjoy our stay without the stress and concern that comes along with traveling and pet ownership! Another feature I personally enjoyed was the Walking Tour Kit. It included an iPod Shuffle pre-loaded with a workout playlist, a deck of cards; guidebook that included walking tours, and comfort items like a towel and map! I felt like I was the most important guest (surely, everyone felt that way as they checked in to their rooms). Highly recommend to anyone who has the opportunity to travel in the area of an Affinia Hotel!!
fake ||| positive ||| My visit to the Conrad Chicago in the heart of downtown was a luxurious experience bar none. The lobby is immaculate and is filled with reams of class and style. The rooms are beautifully adorned. I especially like the flat screen TV and wired internet. I'm never happy with wireless connections so it is nice to find a hotel that knows that its guests need fast, reliable internet connectivity, and it's included at no additional charge. The view from the room was magnificent...downtown Chicago at night! The Restaurant is spectacular but the Terrace is the place to be when weather permits. You cannot get a more breathtaking view and be able to relax in the gentle breeze of evening while dining on the finest gourmet foods. Don't forget to visit the Health and Fitness center with their selection of aerobic and anaerobic workout equipment. The staff is attentive to your every need and the concierges can get you whatever you need. Just ask! This is the place to stay in Chicago if you want to be pampered in luxury!
truthful ||| negative ||| Beautiful historic hotel -- and since I'm in historic building business, was looking forward to stay. Moved rooms on second night because of loud party in adjacent suite, they escorted me to a room that was completely torn up -- duct work torn apart in bathroom, lamp fixtures literally falling off wall, mirror torn off wall, etc. Ended up in a room on 20th floor -- much nicer, but yesterday waited 10 minutes for elevator on two separate occasions. Only two of three elevators to top floors work -- and these two elevators skip floors, so you can be stuck waiting for ever. When I raised this to hotel staff, was told this was an old hotel and basically to stuff it. Umm, no. This is not an old building problem, this is a fixable elevator problem if anyone cared enough to fix it. Thumbs way down, stay away. Go to the Drake or Knickerbocker if you're looking for old world charm, sans hassle.
truthful ||| positive ||| We loved this hotel and would definitely come back. Initially we weren't given a goldfish, which was disappointing, but then we left a tip for the housekeeper, and she rewarded us with one. We had fun sipping wine and playing Wii in the lobby every afternoon. The staff were quite friendly and helpful, even printing our boarding passes for us. Our room was very comfortable, with a cozy little alcove at the window where we read the paper. At first we were worried about noise, since our room was next to the elevator, but we hardly heard it, and didn't notice any street noise either. The hotel is colorfully and tastefully decorated, well-lit, and ideally located.
fake ||| negative ||| I stayed at the Sofitel Chicago Water Tower hotel a couple of weeks ago while in Chicago for 3 nights. I must say, I was NOT impressed. This is an example of a hotel that tries too hard with little result except for inflating your bill. To start with, the hotel lobby was totally gaudy. It had sculptures and artwork that seemed meaningless and I guess was supposed to give an air of style. The room was ok I suppose, but certainly not worth the premium price I paid for it. The hotel food was presented like it was some kind of amazing French cuisine, but the food, while arranged nicely, tasted unremarkable and again, was overpriced. My final verdict is avoid this hotel if at all possible. It is simply not worth it.
truthful ||| negative ||| We stayed here for one night, and found it a hotel that concentrates on conferences rather than your normal guest. We found it hard to get a room in the city for that particular night and so we paid above the odds for this - @ $200 for the night. We felt when we checked in that if you weren't with the conference, then why were we staying in the hotel. The guy at the main door didn't even hold it open when you are trying to lug your bags into the lobby, we then had to que for 15-20 minutes just to check in. We were not given any information about the hotel and when I rang down to reception at one stage to find out if there was a business centre in the hotel that I could access the Internet through, I was just short of being asked why didn't I bring my lap-top with me so I could use the Internet access in the room.... !! I found the staff very rude and not helpful at all and would not recommend this hotel for a tourist.
truthful ||| positive ||| I actually booked this reservation with the hotel over the phone and got a great rate -- much lower than the usual price! It was a lovely hotel, beautifully appointed, walking distance from the places we wanted to go. We would highly recommend the Fairmont.
truthful ||| positive ||| Mostly great with a few islands of relatively minor problems. First the good: Outside of the hotel and lobby were decorated like a winter wonderland, as befitted the season. The restaurant service was absolutely flawless ( servers who don't write orders because they are expected to remember them, remember clients clearly from one day to the other, and go above and beyond consistently). Rooms are comfortable: yes the beds are great! The gym is well equipped. Second the slightly off putting: mmmhh...we got the "I love chocolate package" which advertized: bfast every day, dinner once, snack once and...a gift. And we have an A-Club favorite guest membership, which also advertized " a gift". So, no gift...either for the chocolate package or the favorite guest membership. Upon enquiry, "the snack was the gift". Not at all what the package suggested. That said, bfast was sublime and the chocolate dinner outstanding as well. Some problems at checkout though: we got charged for all dining despite having booked the package and it took quite a while for a polite but seemingly less than informed front desk staff to correct the problem. Would absolutely go back, but probably not on a special package.
truthful ||| positive ||| This was a weekend trip for my friends and I. We booked a couple of rooms and asked in advanced for the reservations to be connected in some way. Our rooms were right next to one another as requested. As it was almost everyone's first time to Chicago, we had to do a bit of cold-searching for a hotel. And, our choice was next to perfect. I had an amazing time during my first visit to Chicago and it was largely due to this hotel. The customer service was AMAZING. Everyone was extremely nice and helpful. One of our rooms ordered late night room service and raved about how they felt they had ordered a 5 star lunch because it was as fresh as having ordered food at 2 pm, and delicious. My friend suggested they had a full-staff at 3 am because the food came up quickly too. In another of our rooms, housekeeping had accidentally discarded a CD when replacing the CD player with an iPod dock. The concierge had the exact CD purchased and ready at check-out from the neighboring record store. Our rate included complimentary breakfast which was fantastic! Everything was freshly made in their kitchen too. An added bonus was that the hotel is attached to a mall. Therefore, you don't need to leave the building to get a pair of shoes, a coffee, or a some other type of trinket. I was beyond pleased with this hotel and would stay here again without hesitation.
fake ||| positive ||| The location of this hotel was superb! Our room was spacious and the view was spectacular. The staff at the hotel treated my family with the upmost respect. One of the front desk staff even helped my five year old tie his shoes while we were waiting for the porter. We will stay here again and advise our friends to do the same.
truthful ||| positive ||| This a great property, excellent location and wonderful staff. Everyone was very accommodating and polite. The room I had was on the 23rd floor and was like a suite, with a living area and a bedroom. The living room was spacious, with a plasma TV, a desk and a couch. The beds were very comfortable and the toiletries of very good quality. In the closed they placed an umbrella, which came in handy, it rained the whole time I was in Chicago. The internet connection is $9.95/24hrs. Great place, I will return for sure.
fake ||| positive ||| The rates at The Talbott Hotel were cheaper than I had expected, and that was my reason for booking a room. I had been prepared for service and a room similar to what I had experienced in the past, and I was quite pleased when I did stay. The room was neat and clean, and the halls were quiet at night. The traffic noise was muffled to the point where it was no problem sleeping either. I did ask one question at the service desk and they answered it nicely, which is good because normally hotel workers can be a bit snippy, especially at night. Overall I had no problems with The Talbott Hotel and I would stay at this here again if I were in the area a second time.
fake ||| negative ||| I needed to find a last minute hotel to stay in for the night so i came to this one. First of all the prices for one night are extremely high. The workers at the front desk were not kind at all and treated me like i was a second rate and not on their list of priorities. Then i got into my room and got settled and it smelled of cigarettes and the air conditioner was making loud sounds so i didnt get much sleep. Also the restroom was very dirty and frankly disgusting. The beds were very old and uncomfortable and the tv did not work at all. Overall i am very disappointed with this hotel.
truthful ||| negative ||| My fiance and I traveled to Chicago for the first time this December and we were not happy with this hotel. The friendliest people on the staff were the bell boys. They greeted us with a smile and gave us lots of great advice throughout our stay. The rest of the staff however was terrible. When we first checked in, I was instantly discouraged. The front desk person was not in a good mood and I couldn't wait to leave the lobby. Having not traveled here before we were looking for exciting places to eat and to go sightseeing. We asked multiple staff members at the front desk of places to go and see and never got any good recommendations. We felt as if we were an inconvenience to the staff. At one point, the front desk person was on the phone while we were waiting to talk to her, as she was on the phone a family of four came up behind us waiting to talk to her as well. Even though she saw us standing there, after she finished with the phone call she ignored us and helped the family first. Yes, we are in our mid 20's, but we are still paying guests and there is no reason to be treated like we are invisible. For how much money we paid for each night, I would have rather stayed somewhere else. We decided to go with this hotel because of the location and the great reviews, but we did not experience any of this during our stay. The rooms were alright, but nothing special. I would not stay in this hotel again.
truthful ||| positive ||| After reading some of the most recent reviews I'm really perplexed. I didn't know what to expect, but I was most pleasantly surprised. Just as all the past reviews, both negative and positive, have stated, you can't beat the location of this hotel. It's perfect. We had a big spacious room in the old tower. We avoided the expensive pitfalls of the hotel extras such as bottled water and items in the room fridge. The beds were great, the rooms were kept clean and the staff was very friendly. Great martinis in the hotel bar. I really can't understand the negative reviews. I know you can't please everyone, but in some cases I simply don't believe their claims. I've traveled a lot and have stayed in plenty of hotels. This is a great hotel!
fake ||| negative ||| My daughter's broken heart My daughter loves American Girl and for her birthday wanted to go to American Girl Doll in Chicago. For six months my eight year old counted day the day until we left for Chicago when she could have the experience of a lifetime. We arrived at the Talbot Hotel where we had reserved the American Doll Girl package only to find out that they had given our room away and that they were going to move us across town. If that wasn't bad enough we had to spend an hour to find out if the American Girl carriage ride had been canceled or if we should book another one. My daughter sulked for most of the trip as we spent more time going from thing to thing instead of being able to walk. My daughter cried herself to sleep the first night and I could tell that her heart was broken.
truthful ||| positive ||| We always stay at the Sheraton Chicago Hotel & Towers when we take our kids to the city. You can't beat the location which is in walking distance of Navy Pier and Michigan Ave. The hotel is also just a couple of blocks from the fabulous Fox & Obel, a high end grocery store with many prepared items available to go and a great cafe that serves a stellar breakfast. The hotel staff are professional and courteous and the rooms are more than adequate with very comfy beds. My kids enjoy the pool with it's windows that overlook the Chicago river.
fake ||| positive ||| Couldn't have asked for a better home base for checking out downtown Chicago. Hotel Sofitel is right in the heart of the action, allowing my friends and I to hit the clubs and enjoy the local cuisine downtown's famous for. The room was comfy, with two queen mattresses, down stuffed duvets and chic decor. The bar downstairs was a bit pricey, but made up for it by being comfortable, sleek, and staffed with attentive bartenders who made excellent cocktails. One night we didn't feel like going out so we headed downstairs to eat at the Cafe des Architectes, which had an amazing array of choices, mostly of the French persuasion. I would definitely book here again!
truthful ||| positive ||| we stayed here in january when it was -20. but even then we enjoyed it so much we could not wait to get back. chicago is a great town to visit and the homewood suites is the place to stay, period. now we stayed from the 9/5/2009 to 9/5/2009 and enjoyed every day. (p.s. the weather was in the high 70s). to get back to the hotel, it was fantastic, it has everything you need and its write in the heart of the city. two seperate rooms were very handy as we had our teenage son. full kitchen, (laundry on 7th floor) seveal foodmarkets within walking distance, everything within walking distance. you wont need a car and at $42 for valet parking you wont want one. dont take my word for it , check it out you wont be disappointed. oh and did i mention free breakfast and dinner . job done. its a no brainer book now. p.s. theres also a beach within walking distance
truthful ||| positive ||| A friend highly recommended this hotel and we couldn't have been happier! It was wonderful ~ my husband and kids were already planning our next trip there before we had even left the hotel. The kids loved the goldfish in the room and thought the window seats were the best.
truthful ||| negative ||| It's not a bad hotel. It's just so...disappointing. As a Diamond member, I expect slightly more than a room with two double beds with no view. I'm not distraught over this, but come on. Ditto the continental breakfast in the executive lounge, which has nothing but fattening pastries, bagels and cereal. Low-level Hampton Inns have a free breakfast that puts this to shame. And what's with the lounge not opening until 6:30am? Business travelers often need to be GONE by 6:30, not sitting down to their meager breakfast. The in-room wifi is a pain to access, and I somehow got stuck with the $19.99 plan even though I selected the basic plan. (Don't get me started on how a $89/night Hampton Inn can offer free wifi and a full-service Hilton & Towers seemingly can't...). Finally, what's with the two bathrooms per one hotel room? It's an unseemly waste of space, especially when the rooms are so meager. And the gold-plated bathroom fixtures scream 1992, not 2009, as does the picture-tube TV (vs. flat panel). Overall, this is a huge disappointment over which Conrad should be ashamed.
truthful ||| positive ||| I loved this hotel - fabulous old building but with first class modern amenities. Great location, as it's so close to both lakeshore and city. Chicago is such a walkable city, so this was a superb base. The staff were just lovely - so very friendly and efficient. The room was wonderful - very, very comfortable and exceptionally clean. Great chair. Great coffee. Lovely bathroom with a huge, absolutely fantastic shower. It was also extremely quiet. That, and the best bed ever, meant I slept so well and since I was there for a week, that was very important to me. Yummy martinis at the Martini Bar. I will most definitley be back!
fake ||| negative ||| I was not at all impressed with my stay at the Millennium Knickerbocker Hotel Chicago. Checking in there were two people ahead of me but apparently that takes the 1 (one!!) front desk agent 30 minutes to process. Both guests had issues with their rooms regarding, it seemed, wrong room types and being out of the room type requested. I was nervous about my own reservation and, sure enough, my Superior Corner room wasn't available. The hotel tried to compensate me with complimentary breakfast and drinks at the bar but it is still annoying to reserve a room type and not have it be available. I was also annoyed that every little thing has an upcharge at the hotel. Want internet? Upcharge. Want extra pillows? Upcharge. Extra coffee for the room? Upcharge. Bad enough to get that treatment on the airline ride over but to have a hotel nickle and dime you is very annoying and aggravating. I won't be back and would strongly recommend other travelers to beware before booking.
truthful ||| negative ||| My stay at the Amalfi was a very brief one. I booked the hotel based on all of the glowing reviews I saw here on Trip Advisor. When I arrived, I sat down at a desk with an amazingly aloof clerk. I felt like I stepped into an episode of the Twilight Zone. The room was very small and dark. Then the Internet wasn't working. I wasn't informed about this on my check in and couldn't be given a time frame when it would be back up. I walked the neighborhood and found another hotel more to my liking, gathered up my belongings and went there. If you're one of those people who likes trendy upscale and chi chi locations and hotels, you'll lurve this place. But if you like a hotel with lights on, working internet and a good view and real breakfast, go someplace else.
fake ||| positive ||| The Talbott Hotel was very classy, professional, and luxurious. I loved how the staff was nice and respectful. I was treated like i was royalty when i was there, when in checked i was greeted by all of the people working behind the front desk and was offered a tour of the hotel. They took my bags and put them in my room while i was taking the tour and they even escorted me to my room right after we were done. This is a very nice and modern looking and their rooms are spacious and clean unlike other hotels in their area. I have recommended this hotel to all of my family and friends and would recommend it to anyone who is going to stay in that area.
fake ||| negative ||| When I walked into the Millennium Knickerbocker Hotel, my first thought was ,"wow this is very yellow", and not the good kind of yellow like a sunny day, no the ugly yellow that you would want to wash off your pretty white blouse. my room was fairly descent although the yellow theme seemed to leak in. It was a Victorian feeling in the lobby that turned into a modern feeling in the rooms and bathrooms. i would have liked to see less yellow and maybe a bit more of that fancy feeling from the lobby in the rooms.
truthful ||| positive ||| We booked our room on Priceline, and got a good deal at around $100 per night. We stayed for the first 2 nights of our US trip so didnt use too many of the hotel's facilities The hotel is centrally located, just over the Chicago River from the shops at North Michigan Avenue, and around a mile from Navy Pier Our room was clean and comfortable, and on the 29th floor we had a good view of the city, and could just about see Lake Michigan (though the weather was very bad). The layout of the room is a little peculiar, with the bed facing away from the window, but over all we have no complaints about this hotel, and unlike some other reviews we were not disturbed at all by noise from other guests So, pros and cons: Pros: Helpful and friendly staff Clean and comfortable throughout Spacious rooms Large and airy public areas Starbucks and gift shop in lobby Cons A large hotel, so a long walk from the elevators to the front desk / lobby area
truthful ||| positive ||| We have just returned from a week at the James Chicago. The hotel is fabulous, very chic and chilled. The service is beyond compare. Check in and out were swift and painless. The Concierge service is also super efficient having located an excellent hair salon and a couple of fab restaurants for us during our stay. The hotel restaurant itself is rated 5 in the top 10 in Chicago - voted by Chicago residents. We stayed on the 14th floor with great views of the city. The room (a deluxe king) was equipped with a great selection of cocktail making lovelies, hairdryer, safe, tv, robes & slippers, a very interesting selection of minibar items (one of which was a real surprise!) including crisps/snacks a first aid kit and an umbrella! We also had a spotless and elegant bathroom with Kiehls products and a cosy little dining area. The ipod dock/CD/radio and complimentary chillout CD were a nice touch and husband liked the enormous plasma tv. The super comfy bed ensured a good snooze and complimentary WiFi allowed us to plan our next day's activities from our bedroom. We were so busy touring around the city we didn't get an opportunity to use the gym or the spa - both of which looked fab. The bar/lobby area is a haven of civilised tranquility with smooth music playing in the background to help you chillout that bit more. Staff are attentive without being fussy and a good selection of drinks and bar snacks are available. The barman mixes a mean mohito ! This hotel is full of nice little thoughtful touches to make people feel welcomed and cared for e.g. The Virtual Tuck In service - basically a couple of PCs with webcams to allow people to say goodnight to their children when they're away from home on business. Also the dog biscuits and water outside the front door for our furry friends. Next visit to Chicago I'll definitely be staying here and wouldn't even consider an alternative if The James can maintain these standards.
truthful ||| positive ||| The Allegro in downtown Chicago is a great stay/ part of the Kimpton Group boutique hotels the Allegro offers a classy stay in a beautiful room for a moterate price/ they offer complimentary and decent wine gratis in the late afternoon and the hotel allows you access to everything the loop has to offer in this remarkable city. i would recommend parking outside of the downtown area and taking the 'EL' into the loop which leaves you about 2 minutes from the hotel/ otherwise you are looking at hefty parking fees for a car you dont need in this part of the city . the rooms are small but beautifully done with great colors,comfortable beds and in my case great views. if you go to kimpton group website and sign up for specials you will be alerted to great rates on certain days / kimpton does a great job and their properties are "class acts"
fake ||| negative ||| I booked a room at this hotel expecting great accommodations considering the price but was disappointed. The room looked nice, but I found that there weren't any extra blankets in the closet and the heating system was dysfunctional. I came back to the room after a meeting and found that it still had not been cleaned even though it was the late afternoon. I asked for replacement towels and they were very late in coming. I would have expected there to be a shuttle of some sort to the airport, especially since the website advertises the close distance. Instead, I had to call for a taxi and was almost late for my plane because the taxi was stuck in traffic. All in all, not the best experience at all.
fake ||| negative ||| While the hotel looked absolutely lovely from the outside, my experience went downhill once I walked in. The lighting is very poor, which creates such a dark and gloomy atmosphere. The mood was accompanied by less-than-friendly staff members who made our check-in seem like nothing more than a huge hassle. I would not recommend this hotel to anyone looking for a quiet night or a nice stay. I definitely would not stay here again.
truthful ||| positive ||| Having booked the hotel directly with the hotel on its website, I arrived tired from Ireland, to find that they had mislaid my booking and had no room on that night, but did have rooms for the rest of the week. They booked me in to another (not as nice) downtown hotel and paid for my taxi to that hotel and for that nights accommodation. On my return to the hotel next day, I was upgraded to the Club level. What really impressed me was that the hotel did everything they could to make up for their earlier mistake...unprompted. Of course, the hotel itself (particularly on the 32nd floor) is excellent. I will definitely be back.
fake ||| positive ||| I stayed at the millennium Knickerbocker for 3 nights while on a business trip, as it was conveniently located a few blocks away from the office I was visiting, and just about everything else for that matter. The lobby was absolutely beautiful, and the staff was beyond courteous and extremely helpful. The rooms were elegant and spacious, and I instantly felt right at home. The large flat screen TV as a nice touch and TV options were many. I headed downstairs to the bar for a drink, and was amazed at how well kept it was, as well as how nice everybody was. As this was my first time I asked the bartender about the area around and he gave me great advice about some places to check out. All in all this was a great experience, and next time I'm in the area, I will definitely be staying here. I'd recommend the Millennium Knickerbocker to anyone traveling to Chicago.
truthful ||| negative ||| IMO the Amalfi doesnt come close to justifying the glowing comments on TA. This is basically a Holiday Inn. Half of the rooms overlook an alley / loading dock. The hotel is not more than 6 or 7 flors high and the garbage pick up woke me up daily at 5 am. At 530, when you are just nodding off again, they begin setting up for the complimentary breakfast. This is a continental buffet on every floor next to the elevator bank. Any room within 100 feet of the elevators will hear the noise. Reception was a bit tacky and the "staff" was a little rough around the edges. I didn't see a single business travellers while I was there. Valet parking was expensive (usual for Chicago) but was very slow. Just ok. Explore other options.
truthful ||| negative ||| My daughter and I woke in the morning wanting to go swimming. When we arrived at the pool the water was covered by a white scum. I then attempted to use both of the phones at the pool, one white phone and one emergency red phone, to call the desk. Both were out of service!!!! I am glad there wasn't an emergency. As we were exited the pool area I ran into a hotel employee and told her about the problems and then asked her to call us when the pool was clean.... never heard back.
fake ||| negative ||| I had high hopes for the Ambassador East Hotel, I really did. It seemed like a nice enough place with reasonably close beach access. I arrived to the hotel on a Tuesday afternoon. I was immediately surprised by the state of disrepair that the building was in. I could actually see two members of hotel maintenance in the parking lot sitting in their truck, doing nothing. As I walked in, nobody greeted me, and nobody offered to take my bags. The hotel furniture looked quaint and outdated, with a fine covering of dust. I went to the counter to check in and the disinterested girl working barely glanced at my papers and slid me my keys, all while avoiding eye contact and typing on the computer. I got to my room, and despite specifically asking for nonsmoking, there was a distinct smell of cigarettes inside and in the hallway. Having paid extra for an upgraded room, I was extremely disappointed by the condition inside. The drinking glasses were filthy, the towels smelled of mold, and there was actually trash that was left in the bathroom trash can. The television was a basic CRT that looked to be about fifteen years old, and there was no channel guide, though I suppose I didn't need one for the six channels that it had. I had heard good things about the food at the Ambassador East hotel, but alas, there was no respite here. The room service that I ordered took forty minutes to arrive, and my steak was cold and cooked beyond well done. Elsewhere in the hotel things were no better. Everywhere I went, from the pool to the bar, the staff was hasty, rude, and completely uninterested, and nowhere was particularly clean or well decorated. I really wanted to like the Ambassador East Hotel, but unfortunately the best part of my stay was checking out.
fake ||| negative ||| I recently had a horrible stay at the InterContinental Hotel in Chicago. When I first arrived I was impressed with the architecture and location, but things went downhill in a hurry. The front desk staff was extremely rude upon checking in and even though I had reserved a room with two queen beds, they told me that "only king bed rooms were available at the time", and there was nothing they could do about it. The room itself was a nightmare. It smelled like an ashtray and it was very clear that the bedding was in dire need of replacement. There was also a huge problem with my television, in that it would automatically turn itself off every 15 minutes or so. I complained about these problems, but very little was done. The hotel staff eventually did bring me new sheets, but the quality was only marginally improved. Overall I was very disappointed with my stay at the InterContinental Hotel in Chicago. From the pictures I had seen online I had expected a wonderful hotel, but what I actually got was on par with what you would typically find at a rundown interstate motel.
fake ||| positive ||| When I was asked to stay at the Swissotel in Chicago, I immediately went to their website to check them out. What I found there was decent, nothing really stood out. It wasn't until I actually went there that my eyes were opened. The amazing customer service I received there was exceptional. Every whim and detail I asked for they helped me perfectly. The room was neatly fixed when I arrived and was cleaned every day. When I asked about more towels, the maids were happy to help me out. If I were ever to be in that area again, I know exactly where I'm staying, the Swissotel.
